"Electorate","State","10-19_Male","10-19_Female","20-29_Male","20-29_Female","30-39_Male","30-39_Female","40-49_Male","40-49_Female","50-59_Male","50-59_Female","60-69_Male","60-69_Female","70-79_Male","70-79_Female","80-89_Male","80-89_Female","90-99_Male","90-99_Female","100_plus_Male","100_plus_Female","Total_Male","Total_Female"
"Stirling","WA",7393,7305,11531,11110,10663,10485,9341,9127,7698,8316,6171,6979,4005,4793,2012,2934,249,551,3,22,59077,61618
"Hasluck","WA",9682,8805,8720,7737,8617,8357,9485,9700,8812,9072,7096,7080,3553,3913,1450,2040,183,455,7,13,57602,57157
"Pearce","WA",10594,10167,7865,8644,9089,10220,10257,10684,7122,7357,5520,5509,3033,2885,1076,1251,113,265,7,4,54681,56992
"Cowan","WA",10480,9671,9796,9571,9992,10413,10158,10442,7919,8283,5502,5656,2554,2966,1075,1599,142,314,3,7,57619,58912
"Swan","WA",8167,7577,16989,15464,12668,11719,9926,9158,8296,8509,5969,6121,3329,4207,1967,3327,294,881,12,30,67612,66987
"Moore","WA",10911,10437,9130,8223,7889,8373,10523,11829,10210,10852,6809,6521,2701,3043,1193,1747,138,360,3,0,59510,61388
"Burt","WA",10701,10180,11427,11079,10663,10535,9989,10228,8221,8700,5900,5926,2910,3289,1140,1542,146,323,0,9,61094,61809
"Tangney","WA",9819,9339,9500,8721,7014,7523,8810,10230,9119,10228,6936,7044,3629,4345,2071,3269,281,735,3,24,57180,61445
"Fremantle","WA",7946,7826,9306,9204,10291,10375,9682,9973,7997,8362,5737,5891,3212,3674,1412,2124,173,423,3,8,55744,57852
"Brand","WA",10104,9422,9493,9369,9426,9561,9989,9949,7292,7309,5335,5376,3107,3380,1336,1735,152,305,3,11,56230,56422
"Durack","WA",11567,10349,16047,12330,16752,12927,16514,12046,13754,10186,7738,5879,3340,2891,1300,1340,119,272,4,13,87142,68245
"LYONS","TAS",6863,6388,4425,4622,5163,5790,7086,7267,7802,7857,7115,6613,3608,3392,1293,1613,161,292,7,9,43514,43838
"FRANKLIN","TAS",6473,6076,5023,5064,5701,6209,6513,7137,6848,7297,5719,5895,3167,3501,1480,2034,162,429,3,18,41091,43654
"DENISON","TAS",6108,5972,7770,7681,5924,6308,6556,6906,6474,7074,4861,5245,2831,3472,1582,2527,207,567,4,20,42323,45766
"BASS","TAS",7017,6609,6258,6391,5655,6133,6557,7018,6439,6835,5236,5462,3030,3586,1529,2361,215,548,3,11,41949,44942
"BRADDON","TAS",6878,6624,4993,5174,5282,5771,6570,7157,6800,7052,5824,5923,3508,3833,1539,2193,168,439,5,12,41569,44171
"SOLOMON","NT",7128,6466,10141,8659,8875,8538,7751,7429,6377,5932,3976,3293,1456,1262,416,494,26,71,3,0,46140,42150
"LINGIARI","NT",8758,8010,8448,8405,8203,8258,7947,7759,6540,6165,3754,3001,1148,1043,315,379,33,65,3,0,45151,43106
"Fenner","ACT",10424,10007,15437,15971,14577,14957,11782,11941,9089,9907,6611,7199,3246,3617,1469,2086,165,396,0,4,72804,76089
"Canberra","ACT",12658,11933,15395,14315,12433,12581,12908,13860,12072,12656,8515,8680,3998,4710,1937,2933,264,623,0,19,80182,82303
